ObjectClass,Name,whenCreated,whenChanged,DistinguishedName
"top, attributeSchema",ms-Imaging-Thumbprint-Hash,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Lost-And-Found,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Code-Page,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Machine-Password-Change-Interval,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-ComputerReferenceBL,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Class-Category,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",System-Must-Contain,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-Imaging-Hash-Algorithm,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Type-Library,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-ClassID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Machine-Role,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-Priority,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Classes,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",System-Only,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-Allowed-To-Act-On-Behalf-Of-Other-Identity,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Mail-Recipient,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",User,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-CLSID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Machine-Wide-Policy,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-DeletedPath,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Count,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",System-Poss-Superiors,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-ManagedPassword,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-InterfaceID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Managed-By,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-DeletedSizeInMb,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Guid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Telephone-Number,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-ManagedPasswordId,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Meeting,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",Volume,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-Other-Prog-Id,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Managed-Objects,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-ReadOnly,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Sid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Teletex-Terminal-Identifier,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-ManagedPasswordPreviousId,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-ProgID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Manager,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-CachePolicy,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Object-Version,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Telex-Number,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-ManagedPasswordInterval,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-COM-Partition,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",PosixAccount,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-Treat-As-Class-Id,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",MAPI-ID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-MinDurationCacheInMin,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",OEM-Information,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Telex-Primary,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-GroupMSAMembership,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-Typelib-Id,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Marshalled-Interface,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-DFSR-MaxAgeInCacheInMin,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",OM-Object-Class,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Template-Roots,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-GeoCoordinates-Altitude,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-COM-PartitionSet,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ShadowAccount,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",COM-Unique-LIBID,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Mastered-By,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-FVE-RecoveryPassword,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",OM-Syntax,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Terminal-Server,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-GeoCoordinates-Latitude,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Comment,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Max-Pwd-Age,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-FVE-VolumeGuid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",OMT-Guid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Text-Country,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-GeoCoordinates-Longitude,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",ms-DS-App-Configuration,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, classSchema",PosixGroup,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Common-Name,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Max-Renew-Age,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",ms-FVE-KeyPackage,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",OMT-Indx-Guid,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Text-Encoded-OR-Address,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",ms-DS-Transformation-Rules,11/10/2017 7:25:45 PM,11/10/2017 7:25:45 PM,
"top, attributeSchema",Company,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
"top, attributeSchema",Max-Storage,11/10/2017 7:25:44 PM,11/10/2017 7:25:44 PM,
