ZoneName,Name,RecordType,Data,TTL,Age,TimeStamp,UpdatedAtSerial,whenCreated,whenChanged,showInAdvancedViewOnly,DistinguishedName
RootDNSServers,@,NS,M.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,L.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,K.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,J.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,I.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,H.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,G.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,F.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,E.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,D.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,C.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,B.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
RootDNSServers,@,NS,A.ROOT-SERVERS.NET.,0,0,[static],0,1/28/2024 10:49:11 PM,1/28/2024 10:49:11 PM,TRUE,"DC=@,DC=RootDNSServers,CN=MicrosoftDNS,CN=System,DC=vulnad,DC=local"
